Datos del club;;;;;;;;;;;Características Web;;;;;
El Club;;Dirección;;;;;Contacto;;;Web;Valoración;Tiene...;;;;
Asociación Deportiva "Sin Fronteras";;España;Asturias;Muros de Nalón;C/ Marqués de Muros, 32;33138;985.58.33.69 / 985.58.35.25 / 985.58.32.32;;correo@asociacionsinfronteras.es;www.asociacionsinfronteras.es;Bien Estructurado;No;Si;Si;No;Redes sociales: Facebook. Diseño mejorable. Actividades: Senderismo, Bici Montaña y Cicloturismo.
C.C.T. Navastur;Aprox 37;España;Asturias;Nava;C/ LLames Alto;33520;;;navastur@cctnavastur.es / webmaster@cctnavastur.es;www.cctnavastur.es;Bien Estructurado;No;Si;No;No;Redes sociales: Facebook y Youtube.
Club Ciclismo Nava 2000;;España;Asturias;Nava;C/ La Baragaña,3;33520;646.01.07.81 / Fax: 985.71.64.87;Mario;ccnava2000@gmail.com;www.nava2000.com;Bien Estructurado;No;Si;Si;No;Tienen perfil en Facebook.
Club Ciclista Aramo;;España;Asturias;Oviedo;C/ Uría, 44;33003;985.21.45.92;;;;;;;;;Tienen perfil en Google +.
Club Ciclista Siglo XXI;18;España;Asturias;Oviedo;C/ Álvaro Flórez Estrada, 5;33006;645.57.97.89;;;www.ccsigloxxi.com;Bien Estructurado;Si;No;Si;No;Suben las rutas con imagen de mapa y perfil y los datos de la ruta, pero no tienen opción de track. Tienen también clasificación anual. Tienen perfil en Google +.
Sociedad Cicloturista Asturiana;;España;Asturias;Oviedo;C/ Monte Gamonal, 7 Bajo;33012;985.28.99.99 / Fax: 985.28.99.99;;scta@sctasturiana.com;www.sctasturiana.com;;;;;Si;Redes sociales: Facebook. Track a través de www.gpsies.com en facebook. La web está sin evaluar porque me saltaba en google una alarma de aviso de virus.
Asturcon B.T.T;;España;Asturias;Oviedo;C/ Los Pilares, 3 y 5;33012;646.96.06.65;;asturconbtt@asturconbtt.com;www.asturconbtt.com;Sólo contenidos;;;;;Redes sociales: Facebook. Operan con el Facebook.
Club Ciclista Colloto - Ciudad de Oviedo;;España;Asturias;Oviedo;;;619.01.76.67;;clubciclistacolloto@hotmail.com / webmaster: admin@cccolloto.com;cccolloto.com;Sólo contenidos;No;Si;Si;No;Redes sociales: Facebook y Twitter.
Club Triatlon Oviedo;;España;Asturias;Oviedo;Urbaniz. Jardín de Principado, 15 - 4 ;33011;;;jesus.valles@gmail.com / Formulario web www.bikezona.com;www.trioviedo.org;Herramientas Dispersas;Si;Si;Si;No;Redes Sociales: Facebook.
Grupo Ciclista Una a Una;Aprox 50;España;Asturias;Oviedo;Avda. Colón, 6 Bajo;333013;985.27.64.88;La Alpinista Rosa Fdez.o en Tienda Trek Morán;;gcunaauna.blogspot.com.es;Sólo contenidos;No;Si;No;No;Club formado sólo por chicas. Web no está actualizada.
Agrupación Cultural y Deportiva Cares-Deva;;España;Asturias;Panes;C/ La Quinta - Alevía;33579;985.41.43.71;;;;;;;;;No web, no redes sociales.
Club Mountain Bike Somiedo;;España;Asturias;Pola de Somiedo;C/ Flórez Estrada, s/n;33840;985.76.39.96;;info@mountainbikesomiedo.es / A través de Formulario web.;www.mountainbikesomiedo.es;Bien Estructurado;No;Si;No;Si;Redes Sociales: Facebook y Twitter. Diseño web mejorable. No sé si eres socio igual te deja visualizar Foro y Calendario, pero en principio no tienen. Tracks a través de wikiloc.
Lin de Cubel;;España;Asturias;Pravia;C/ Lin de Cubel, 8 - Bajo;33120;;;info@lindecubel.es;www.lindecubel.es;Mediocre;Si;Si;Si;Si;Track a través de wikiloc.
Club Ciclista Mateosan - Langreo;;España;Asturias;Sama de Langreo;;;;;ccmateosan@hotmail.com;www.ccmateosan.blogspot.com.es;Sólo contenidos;Si;No;No;No;Redes Sociales: Facebook (Club Ciclista AsturMaster). Diseño web mejorable.
Tapia BTT Pro Team;;España;Asturias;Tapia de Casariego;;33740;;;ciclismotapiabtt@hotmail.es;btttapia.blogspot.com.es;Sólo contenidos;Si;No;No;No;Redes Sociales: Facebook y Twitter. Diseño web mejorable. Última actualización del blog Agosto 2013.
Club Ciclista Trasona;25;España;Asturias;Trasona;Centro Cultural de Trasona C/ El Pedrero,3;33468;;;cctrasona@gmail.com / jcarlospf@hotmail.com;www.cctrasona.com;Bien Estructurado;No;Si;Si;No;Redes sociales: Facebook.
Centro B.T.T. Valles del Oso;;España;Asturias;Tuñón - Santo Adriano;Ctra. General, s/n;33115;985.76.11.77 / 659.20.93.83 (tiene whatsapp) / 695.43.21.80;;info@vallesdeloso.es;www.vallesdeloso.es;Bien Estructurado;No;Si;No;Si;Tiene Alquiler de Bicis y Calendario de apertura.
Club Ciclista Villaviciosa;Aprox 29;España;Asturias;Villaviciosa;C/ Plácido Hevia, 1 - 4ºDcha.;33300;667.43.26.52;Manuel Valle (Presidente);junta@ccvillaviciosa.com;ccvillaviciosa.wordpress.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable.
Cueto´s Bike;;España;Asturias;Villaviciosa;C/ Pedro Pidal Arroyo, 2;33300;985.89.00.21 / Fax: 985.89.00.21;;info@cuetosbike.com;www.cuetosbike.com;Bien Estructurado;No;Si;Si;Si;Redes Sociales: Facebook. Diseño web mejorable. Tiene también tienda.
Asturias Bike;;España;Asturias;;;;;;Contacto por Facebook;www.asturiasbike.com;Herramientas Dispersas;No;Si;No;Si;Redes sociales: Facebook, Twitter, Tuenti. Diseño mejorable y Track a través de wikiloc.
B.T.T. Pelayo;111;España;Asturias;;;;;;Formulario web.;www.bttpelayo.com / bttpelayo.blogspot.com;Herramientas Dispersas;Si;Si;Si;No;Redes sociales: Facebook (Más activo) y Twitter (@Btt Pelayo...poco activo) Diseño web bastante malo. 
Club Ciclista Puerta de Asturias;;España;Asturias;;;;;;ccpuertadeasturias@hotmail.com;vueltamontanacentral.blogspot.com.es;Sólo contenidos;;;;;Enlaza con la web www.ciclismoenasturias.es
CSC Glober Team;Aprox 27;España;Asturias;;;;;;cscgloberteam@gmail.com;cscgloberteam.blogspot.com.es;Bien Estructurado;No;Si;Si;Si;Redes sociales: Facebook. Diseño web mejorable.
El Castrón B.T.T.;15;España;Asturias;;;;;;elcastronbtt@gmail.com;elcastronbtt.webs.com;Bien Estructurado;Si;Si;No;No;Tiene Foro en la antigua web con la que enlaza. También tiene cuenta en Vimeo. Su lema: ¡Si pasa la cabra paso yo!
Escuela Ciclismo Viella;Aprox 34 + Directivos;España;Asturias;;;;619.17.10.49;;info@ciclismoviella.es;ciclismoviella.es;Bien Estructurado;Si;Si;No;No;Redes sociales: Tienen Twitter la sección femenina @Feminas Viella.
Grumar;;España;Asturias;;;;616.04.57.32;;emilio@grumar.org;www.grumar.org / rutamarineros.blogspot.com.es;Mediocre;No;Si;Si;Si;Tracks a través de Wikiloc. Calendario en conjunto con Ensidesa.
La Fumarea B.T.T.;;España;Asturias;;;;;;Foro;lafumareabtt.foroactivo.com;;Si;No;No;No;Sólo tienen el foro a través de www.foroactivo.com, por lo que el contacto también es a través del aquí.
Los Sobraos ;18;España;Asturias;;;;;;jmartinez1270@hotmail.com;www.lossobraosmieres.com;Bien Estructurado;Si;Si;Si;Si;Diseño web mejorable.
Raposos B.T.T.;;España;Asturias;;;;;;hola@rapososbtt.com / rapososbtt@gmail.com;www.rapososbtt.com / es.foursquare.com/rapososbtt;Bien Estructurado;No;Si;Si;No;Redes sociales: Facebook, Twitter, Youtube, Instagram, Google +, Foursquare.
Club Ciclista Arteixo MB3;;España;A Coruña;Arteixo;;;;;ccarteixomb3@gmail.com;ccarteixomb3.blogspot.com.es;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook (Grupo Club Ciclista Arteixo MB3) y Youtube. Hay dos contactos más pero para hacerse socio. Jessi (priska58@hotmail.com /693.41.10.89) y Jose (josito69fc@gmail.com / 649.91.40.61).
Club Caimanes Betanzos BTT;;España;A Coruña;Betanzos;;;;;caimanesbetanzos@gmail.com;www.caimanesbetanzos.org / caimanes.blogspot.com.es;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook y Twitter. El blog y la web están enlazadas, te llevan al mismo sitio.
Club Ciclista Distribunosa Barbanza;;España;A Coruña;Boiro;Rúa do Cruceiro, 6 ;15930;661.26.94.20;Presidente: Ricardo Riveiro Núñez;ccbarbanza@yahoo.es;www.clubciclistabarbanza.es;Bien Estructurado;No;Si;No;Si;Redes Sociales: Facebook. Diseño web mejorable. Hay otros datos de contacto pero más bien para hacerse socio.
Peña Ciclista Os Chans do Barbanza;34;España;A Coruña;Boiro;;15930;;;oschansdobarbanza@yahoo.es / Formulario web;ciclistaoschans.org;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook.
As Cabras tiran o Monte;;España;A Coruña;Zona Brión - Ames;;;;;Facebook;lascabrastiranalmonte.blogspot.com.es;Sólo contenidos;Si;Si;No;Si;Redes Sociales: Facebook.
Os Esfola Arrós;;España;A Coruña;Brión;;15865;628.83.78.73 (Sólo mañanas) ;;osesfolaarros@gmail.com;www.osesfolaarros.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook, Twitter y Youtube. Fotos a través de Picasaweb.
Club Ciclista Ames;;España;A Coruña;Bugallido - Ames;Bucoleiras,;15895;622.58.58.61 / 657.30.36.11;;ccames@ccames.com;www.ccames.com;Bien Estructurado;No;Si;Si;No;Diseño web mejorable. Foro no funciona.
Club Ciclista Cambre;;España;A Coruña;Cambre;Rúa Río Sil, 3 - Baixo Urbaniz. A Barcala;15560;606.36.45.34 / 606.36.45.17;;admcccambre@hotmail.com (admon. y xestións) / clubciclistacambre@hotmail.com;www.cccambre.es;Herramientas Dispersas;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Para enviar correspondencia : Aptdo. Correos 242 Cambre.
P.C. Monte Xalo;;España;A Coruña;Cecebre - Cambre;;;;;pcmontexalo@gmail.com;www.pcmontexalo.com;Herramientas Dispersas;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. Mucha publicidad en web.
Club Ciclista Carballo;;España;A Coruña;Carballo;R/ Gran Vía, 178 - Baixo;15100;616.97.56.60 / Fax: 981.75.54.00;;Axuntos Xerais: cccarballo@cccarballo.com / Secretaría: secretaria@cccarballo.com / Publicidade e web: publicidade@cccarballo.com;www.cccarballo.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Para ponerse en contacto vía postal: Aptdo. Correos 102 - 15100 Carballo - A Coruña
Club Ciclista Monteneme - Carballo;;España;A Coruña;Carballo;;15100;627.90.45.48;;ccmonteneme@gmail.com;ccmonteneme.blogspot.com.es;Mediocre;No;No;No;No;Redes Sociales: Facebook (Club Ciclista Monteneme - Calvo). La web es bastante desastre.
Club Ciclista Cee;28;España;A Coruña;Cee;R/ Campo Do Sacramento, 103;15270;;;clubciclistacee@gmail.com;clubciclistacee.wordpress.com;Mediocre;Si;No;No;No;Redes Sociales: Facebook. No actualiza Blog desde 2012. Trabajan con Facebook.
Club Ciclista Ferrol;;España;A Coruña;Ferrol;C/ Quintanilla Martínez , Bloque 6 - Bajo;15703;981.32.88.72 / 696.76.84.94;;ccferrol@clubciclistaferrol.es;www.clubciclistaferrol.es;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook. Falla diseño web.
MTB Ambroa;;España;A Coruña;Irixoa;R/ A Graña s/n - Ambroa;15313;619.34.34.40 / 630.57.63.29;;contacto@ambroamtb.org / Formulario web;www.ambroamtb.org;Bien Estructurado;No;Si;Si;No;Redes Sociales : Facebook. Diseño web bastante mejorable.
Club Do Mar - Pulpeiros BTT;;España;A Coruña;Mugardos;Cantón de Cora, 16;15620;981.47.01.70 / Fax: 981.47.01.70;;Pulpeirosbtt@clubdomarmugardos.com / secretaria@clubdomarmugardos.com;www.clubdomarmugardos.com/p/ciclismo.html;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook. Es una sección dentro de un club que realiza también otras actividades. Tb puedes contactar: foro.clubdomarmugardos.com
Club Ciclista Negreira;;España;A Coruña;Negreira;;15830;;;jorge@clubciclistanegreira.com;www.clubciclistanegreira.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable.
Peña Ciclista Leboreira;;España;A Coruña;Nogueirosa - Pontedeume;;15405;;;info@penaleboreira.org;www.penaleboreira.org;Bien Estructurado;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. Fotos a través de Flickr.
Club Peña Ciclista Toxo;;España;A Coruña;Noia;;;;;Facebook;clubciclismotoxo.blogspot.com.es;Sólo contenidos;Si;Si;No;Si;Redes Sociales: Facebook. Diseño web mejorable. Tienen alguna ruta colgada a través de Google Earth.
Club Deportivo Nosportlimit;;España;A Coruña;O Burgo - Culleredo;C/ Visitación de la Encina, 3 - 4º;15670;698.11.97.59 / 600.24.77.03;;info@nosportlimit.com;www.nosportlimit.com;Bien Estructurado;No;No;Si;Si;Redes Sociales: Facebook y Twitter. Diseño web mejorable.
Club Ciclista Padrones;;España;A Coruña;Padrón;Travesía Campo de la Feria s/n;15900;651.95.12.87 / 609.84.14.85 / Fax: 981.81.03.19;;info@ccpadrones.org;www.ccpadrones.org;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook.
C.C. Sonbiker;;España;A Coruña;Porto do Son;Trav. do Poblado, 15 - Edificio La Plaza 1ºA;15970;981.76.76.66;;Formulario web / Facebook;ccc.sonbiker.blogspot.com.es;Mediocre;Si;Si;No;No;Redes Sociales: Facebook y Finixer. Fotos en Picasa, Foro en Foromtb.com (poco activo) La web es de reciente creación y no tiene apenas contenido.
Bicicletas Oliveira ;;España;A Coruña;Santiago de Compostela;R/ Sánchez Freire, 83;15706;981.52.33.06 / Fax: 981.52.33.06;;bicicletasoliveira@hotmail.com;www.bicicletasoliveira.com/;Mediocre;No;Si;Si;No;Tienen Club Ciclista.
Club Ciclista Botafumeiro;;España;A Coruña;Santiago de Compostela;;;690.02.04.70;Manuel Araujo;ccbotafumeiro@hotmail.es;www.ccbotafumeiro.es;Mediocre;No;Si;No;No;Redes Sociales: Facebook, inactivo desde 2011. Última actividad en web 2012.
Club Ciclista Ultreia - Club BTT de Compostela;10?;España;A Coruña;Santiago de Compostela;;15700;;;clubultreia@gmail.com / Foro;www.clubultreia.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook. Diseño web mejorable.
Club Ciclista Vilalba - As Pontes;Aprox 14;España;A Coruña;Vilalba - As Pontes;;;;;ccvilalbaaspontes@hotmail.es;www.ccvilalba-aspontes.es;;;;;No;Redes Sociales: Facebook. Web en obras. Tienen Foro.
Club Ciclista Riazor;;España;A Coruña;;;;;;directiva@ccriazor.com / Formulario web;www.ccriazor.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook y Twitter. 
Grupo Cicloturista Plato Fondo;36;España;A Coruña;;;;;;info@platofondo.es;www.platofondo.es;Bien Estructurado;No;Si;Si;No;
Peña Cicloturista Castro Barbudo;;España;A Coruña;;;;;;Formulario web.;www.castrobarbudo.com;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook. Diseño web mejorable. 
Peña Ciclista Quintena;;España;A Coruña;;;;;;pcquintena@gmail.com;pcquintena.mforos.com / pcquintena.blogspot.com.es / pcquintena.blogcindario.com;Sólo contenidos;Si;Si;Si;No;Redes Sociales: Facebook y Twitter. Tienen Blog pero no actualiza contenidos desde 2008. Toda la actividad la realiza a través del Foro y Twitter. Las Fotos las tiene a través de Picasa.
Peña Ciclista Santa Marta;;España;A Coruña;;;;692.58.34.54;;pcsantamarta@gmail.com;pcsantamarta.blogspot.com.es;Herramientas Dispersas;No;Si;No;No;Diseño web bastante mejorable. Está desactualizada y el foro no funciona.
Castro BTT Club Deportivo;;España;Cantabria;Castro Urdiales;;39700;;;info@castrobtt.com;www.castrobtt.com;Sólo contenidos;Si;No;No;No;Redes Sociales: Facebook. La web está bien estructurada pero sólo tiene contenidos sigue operativa pero en 2103 se pasaron al Facebook. 
Club Ciclista Castreño;;España;Cantabria;Castro Urdiales;C/ La Plazuela, 6 - Bajo;39700;Tel/Fax: 942.86.22.15;;Formulario web.;www.cccastro.com;Bien Estructurado;No;Si;Si;No;Diseño web mejorable. Realizan otras actividades: Cicloturismo, Escuela Municipal del Turismo, Ajedrez, Marchas de montaña y Senderismo.
Club Ciclista Colindres;Aprox 22;España;Cantabria;Colindres;C/ José Mª Alonso Blanco, 3, Trasero, Bajo;39750;687.74.30.83 / 630.90.33.37;David Gómez (Tuty) En el primer móvil.;clubciclistacolindres@hotmail.es / davidtuty@hotmail.com;www.clubciclistacolindres.tk;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable.
MTB Pupas Cantabria;;España;Cantabria;Colindres;;39750;616.19.50.53;;info@mtbpupascantabria.com / Formulario web.;www.mtbpupascantabria.com;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook (Pupas MTB Cantabria). Diseño web mejorable. Tienen Foro (mtb-pupas-colindres.forogratis.es) pero tiene poco uso. Y el antiguo Blog es mtb-pupas-colindres.blogspot.com.es 
